time,S
0,11.9062768837799
1,11.9252319418992
2,12.1750281982186
3,11.8704522983953
4,12.0310841380407
5,11.4380271760954
6,11.7266712108817
7,11.5714811538419
8,11.347177773728
9,11.6757437794337
10,11.524298855639
11,11.3469879360707
12,10.9203672673863
13,11.2287682844223
14,10.8528064404823
15,10.458699768632
16,10.2066484630896
17,9.77115184835249
18,9.02145002968396
19,8.77557169008593
20,8.02603894947688
21,7.23822684382402
22,6.31065750508133
23,5.39547101055473
24,3.90816237233178
25,3.18076605044493
26,1.73707697928469
27,0.531958284554512
28,0.0721919248109067
29,-0.152024138538069
30,0.204419169363029
